
[00:00:00.000 --> 00:00:00.070]  
[00:00:00.070 --> 00:00:00.160]   J
[00:02:57.550 --> 00:02:57.580]  ak
[00:02:57.580 --> 00:02:57.590]   D
[00:02:57.590 --> 00:02:57.670]  vor
[00:02:57.670 --> 00:02:57.720]  ak
[00:02:57.720 --> 00:02:57.720]   and
[00:02:57.720 --> 00:02:57.770]   the
[00:02:57.770 --> 00:02:57.880]   second
[00:02:57.880 --> 00:02:57.910]   is
[00:02:57.910 --> 00:02:57.940]   uh
[00:02:57.940 --> 00:02:58.100]   Jason
[00:02:58.100 --> 00:02:58.120]   Call
[00:02:58.120 --> 00:02:58.150]  ick
[00:02:58.150 --> 00:02:58.160]  -
[00:02:58.160 --> 00:02:58.170]  H
[00:02:58.170 --> 00:02:58.220]  ann
[00:02:58.220 --> 00:02:58.260]  es
[00:02:58.260 --> 00:02:58.280]   so
[00:02:58.280 --> 00:02:58.350]   that
[00:02:58.350 --> 00:02:58.380]  's
[00:02:58.380 --> 00:02:58.410]   it
[00:02:58.410 --> 00:02:58.440]  's
[00:02:58.440 --> 00:02:58.620]   impressive
[00:02:58.620 --> 00:02:58.980]  . [SPEAKER_TURN]
[00:03:00.060 --> 00:03:00.060]  
[00:03:00.060 --> 00:03:00.250]   have
[00:03:00.250 --> 00:03:00.340]   to
[00:03:00.340 --> 00:03:00.490]   set
[00:03:00.490 --> 00:03:00.570]   we
[00:03:00.570 --> 00:03:00.830]   have
[00:03:00.830 --> 00:03:00.850]   to
[00:03:00.850 --> 00:03:00.990]   set
[00:03:00.990 --> 00:03:01.100]   it
[00:03:01.100 --> 00:03:01.170]   up
[00:03:01.170 --> 00:03:01.360]   with
[00:03:01.360 --> 00:03:01.580]   his
[00:03:01.580 --> 00:03:01.790]   people
[00:03:01.790 --> 00:03:01.930]   and
[00:03:01.930 --> 00:03:02.020]   uh
[00:03:02.020 --> 00:03:02.450]   hopefully
[00:03:02.450 --> 00:03:02.590]   his
[00:03:02.590 --> 00:03:02.880]   people
[00:03:02.880 --> 00:03:03.140]   can
[00:03:03.140 --> 00:03:03.210]   talk
[00:03:03.210 --> 00:03:03.300]   to
[00:03:03.300 --> 00:03:03.440]   my
[00:03:03.440 --> 00:03:03.770]   people
[00:03:03.770 --> 00:03:03.870]   well
[00:03:03.870 --> 00:03:03.910]   I
[00:03:03.910 --> 00:03:04.150]   guess
[00:03:04.150 --> 00:03:04.340]   that
[00:03:04.340 --> 00:03:04.430]  's
[00:03:04.430 --> 00:03:04.710]   just
[00:03:04.710 --> 00:03:04.780]   me
[00:03:04.780 --> 00:03:05.400]  . [SPEAKER_TURN]
[00:03:05.400 --> 00:03:05.780]   Get
[00:03:05.780 --> 00:03:06.290]   your
[00:03:06.290 --> 00:03:07.100]   people
[00:03:07.100 --> 00:03:07.310]  .
[00:03:07.310 --> 00:03:07.650]   Talk
[00:03:07.650 --> 00:03:07.840]   to
[00:03:07.840 --> 00:03:08.180]   your
[00:03:08.180 --> 00:03:08.500]   wife
[00:03:08.500 --> 00:03:08.670]  ,
[00:03:08.670 --> 00:03:09.010]   Jack
[00:03:09.010 --> 00:03:09.090]   D
[00:03:09.090 --> 00:03:09.350]  vor
[00:03:09.350 --> 00:03:09.510]  ak
[00:03:09.510 --> 00:03:10.480]  . [SPEAKER_TURN]
[00:03:10.480 --> 00:03:10.720]   Just
[00:03:10.720 --> 00:03:10.960]   talk
[00:03:10.960 --> 00:03:11.080]   to
[00:03:11.080 --> 00:03:11.260]   me
[00:03:11.260 --> 00:03:11.380]   and
[00:03:11.380 --> 00:03:11.500]   uh
[00:03:11.500 --> 00:03:11.770]   yeah
[00:03:11.770 --> 00:03:12.290]   hopefully
[00:03:12.290 --> 00:03:12.410]   we
[00:03:12.410 --> 00:03:12.590]  'll
[00:03:12.590 --> 00:03:12.820]   set
[00:03:12.820 --> 00:03:13.320]   something
[00:03:13.320 --> 00:03:13.440]   up
[00:03:13.440 --> 00:03:13.620]   and
[00:03:13.620 --> 00:03:13.860]   then
[00:03:13.860 --> 00:03:13.980]   um
[00:03:13.980 --> 00:03:14.100]   we
[00:03:14.100 --> 00:03:14.280]   can
[00:03:14.280 --> 00:03:14.410]   we
[00:03:14.410 --> 00:03:14.700]   can
[00:03:14.700 --> 00:03:14.760]   do
[00:03:14.760 --> 00:03:14.820]   a
[00:03:14.820 --> 00:03:15.000]   good
[00:03:15.000 --> 00:03:15.240]   good
[00:03:15.240 --> 00:03:15.650]   show
[00:03:15.650 --> 00:03:15.740]   with
[00:03:15.740 --> 00:03:15.900]   him
[00:03:15.900 --> 00:03:16.430]  .
[00:03:16.430 --> 00:03:16.480]   And
[00:03:16.480 --> 00:03:16.480]   I
[00:03:16.480 --> 00:03:16.530]   I
[00:03:16.530 --> 00:03:16.870]   wonder
[00:03:16.870 --> 00:03:17.270]   whether
[00:03:17.270 --> 00:03:17.380]   he
[00:03:17.380 --> 00:03:17.510]  's
[00:03:17.510 --> 00:03:17.600]   he
[00:03:17.600 --> 00:03:17.710]   he
[00:03:17.710 --> 00:03:18.140]   real
[00:03:18.140 --> 00:03:18.170]  ises
[00:03:18.170 --> 00:03:18.400]   that
[00:03:18.400 --> 00:03:18.790]   texting
[00:03:18.790 --> 00:03:19.430]   essentially
[00:03:19.430 --> 00:03:19.660]   only
[00:03:19.660 --> 00:03:20.020]   exists
[00:03:20.020 --> 00:03:20.400]   because
[00:03:20.400 --> 00:03:20.510]   of
[00:03:20.510 --> 00:03:20.620]   uh
[00:03:20.620 --> 00:03:20.790]   the
[00:03:20.790 --> 00:03:21.020]   fact
[00:03:21.020 --> 00:03:21.250]   that
[00:03:21.250 --> 00:03:21.500]   we
[00:03:21.500 --> 00:03:21.530]   met
[00:03:21.530 --> 00:03:21.930]   through
[00:03:21.930 --> 00:03:22.120]   his
[00:03:22.120 --> 00:03:22.270]   his
[00:03:22.270 --> 00:03:22.510]   show
[00:03:22.510 --> 00:03:22.730]   This
[00:03:22.730 --> 00:03:22.960]   Week
[00:03:22.960 --> 00:03:23.110]   in
[00:03:23.110 --> 00:03:23.350]   Start
[00:03:23.350 --> 00:03:23.400]  -
[00:03:23.400 --> 00:03:23.450]  U
[00:03:23.450 --> 00:03:23.560]  ps
[00:03:23.560 --> 00:03:24.360]  . [SPEAKER_TURN]
[00:03:25.320 --> 00:03:25.370]  
[00:03:25.370 --> 00:03:25.600]   Yeah
[00:03:25.600 --> 00:03:25.670]   I
[00:03:25.670 --> 00:03:25.880]   don
[00:03:25.880 --> 00:03:26.020]  't
[00:03:26.020 --> 00:03:26.300]   know
[00:03:26.300 --> 00:03:26.370]   I
[00:03:26.370 --> 00:03:26.580]  .
[00:03:26.580 --> 00:03:26.860]   mean
[00:03:26.860 --> 00:03:27.000]   uh
[00:03:27.000 --> 00:03:27.070]   I
[00:03:27.070 --> 00:03:27.190]  'm
[00:03:27.190 --> 00:03:27.420]   I
[00:03:27.420 --> 00:03:27.630]   know
[00:03:27.630 --> 00:03:27.710]   I
[00:03:27.710 --> 00:03:27.910]   know
[00:03:27.910 --> 00:03:28.140]   you
[00:03:28.140 --> 00:03:28.330]  've
[00:03:28.330 --> 00:03:28.970]   mentioned
[00:03:28.970 --> 00:03:29.110]   it
[00:03:29.110 --> 00:03:29.250]   to
[00:03:29.250 --> 00:03:29.460]   him
[00:03:29.460 --> 00:03:29.920]   before
[00:03:29.920 --> 00:03:30.100]   but
[00:03:30.100 --> 00:03:30.170]   w
[00:03:30.170 --> 00:03:30.670]   whether
[00:03:30.670 --> 00:03:30.790]   he
[00:03:30.790 --> 00:03:31.450]   remembers
[00:03:31.450 --> 00:03:31.590]   it
[00:03:31.590 --> 00:03:31.730]   or
[00:03:31.730 --> 00:03:32.370]   remembers
[00:03:32.370 --> 00:03:32.650]   that
[00:03:32.650 --> 00:03:32.920]   fact
[00:03:32.920 --> 00:03:33.070]   or
[00:03:33.070 --> 00:03:33.860]   understands
[00:03:33.860 --> 00:03:34.150]   that
[00:03:34.150 --> 00:03:34.420]   that
[00:03:34.420 --> 00:03:34.560]  's
[00:03:34.560 --> 00:03:35.070]   what
[00:03:35.070 --> 00:03:35.340]   texting
[00:03:35.340 --> 00:03:35.480]   is
[00:03:35.480 --> 00:03:35.690]   you
[00:03:35.690 --> 00:03:35.830]  ,
[00:03:35.830 --> 00:03:36.110]   know
[00:03:36.110 --> 00:03:36.370]   may
[00:03:36.370 --> 00:03:36.530]   not
[00:03:36.530 --> 00:03:37.580]  . [SPEAKER_TURN]
[00:03:37.940 --> 00:03:37.940]  
[00:03:37.940 --> 00:03:38.140]   Well
[00:03:38.140 --> 00:03:38.290]   you
[00:03:38.290 --> 00:03:38.520]   also
[00:03:38.520 --> 00:03:38.740]   think
[00:03:38.740 --> 00:03:39.020]   there
[00:03:39.020 --> 00:03:39.090]  's
[00:03:39.090 --> 00:03:39.390]   there
[00:03:39.390 --> 00:03:39.440]  's
[00:03:39.440 --> 00:03:39.690]   there
[00:03:39.690 --> 00:03:39.790]  's
[00:03:39.790 --> 00:03:39.990]   kind
[00:03:39.990 --> 00:03:40.090]   of
[00:03:40.090 --> 00:03:40.140]   a
[00:03:40.140 --> 00:03:40.440]   number
[00:03:40.440 --> 00:03:40.550]   of
[00:03:40.550 --> 00:03:40.990]   different
[00:03:40.990 --> 00:03:41.090]   pa
[00:03:41.090 --> 00:03:41.140]   I
[00:03:41.140 --> 00:03:41.440]   mean
[00:03:41.440 --> 00:03:41.570]   uh
[00:03:41.570 --> 00:03:41.590]   one
[00:03:41.590 --> 00:03:41.890]   thing
[00:03:41.890 --> 00:03:41.900]   I
[00:03:41.900 --> 00:03:42.090]   know
[00:03:42.090 --> 00:03:42.190]   is
[00:03:42.190 --> 00:03:42.390]   that
[00:03:42.390 --> 00:03:42.490]   he
[00:03:42.490 --> 00:03:42.730]   reads
[00:03:42.730 --> 00:03:43.030]   Hacker
[00:03:43.030 --> 00:03:43.240]   News
[00:03:43.240 --> 00:03:43.490]   right
[00:03:43.490 --> 00:03:43.590]  ,
[00:03:43.590 --> 00:03:43.690]   So
[00:03:43.690 --> 00:03:43.850]   he
[00:03:43.850 --> 00:03:43.890]  's
[00:03:43.890 --> 00:03:44.170]   gonna
[00:03:44.170 --> 00:03:44.290]   see
[00:03:44.290 --> 00:03:44.340]   a
[00:03:44.340 --> 00:03:44.590]   bunch
[00:03:44.590 --> 00:03:44.710]   of
[00:03:44.710 --> 00:03:45.140]   different
[00:03:45.140 --> 00:03:45.390]   stuff
[00:03:45.390 --> 00:03:45.540]  .
[00:03:45.540 --> 00:03:45.640]   So
[00:03:45.640 --> 00:03:45.890]   both
[00:03:45.890 --> 00:03:45.940]   of
[00:03:45.940 --> 00:03:46.040]   us
[00:03:46.040 --> 00:03:46.250]   have
[00:03:46.250 --> 00:03:46.400]   had
[00:03:46.400 --> 00:03:46.740]   stuff
[00:03:46.740 --> 00:03:46.740]   go
[00:03:46.740 --> 00:03:46.840]   up
[00:03:46.840 --> 00:03:46.990]   on
[00:03:46.990 --> 00:03:47.260]   Hacker
[00:03:47.260 --> 00:03:47.440]   News
[00:03:47.440 --> 00:03:47.590]   and
[00:03:47.590 --> 00:03:47.610]   I
[00:03:47.610 --> 00:03:48.200]   wonder
[00:03:48.200 --> 00:03:48.290]   whether
[00:03:48.290 --> 00:03:48.390]   he
[00:03:48.390 --> 00:03:48.490]  's
[00:03:48.490 --> 00:03:48.640]   pie
[00:03:48.640 --> 00:03:48.790]  ced
[00:03:48.790 --> 00:03:49.190]   together
[00:03:49.190 --> 00:03:49.690]   everything
[00:03:49.690 --> 00:03:49.890]   like
[00:03:49.890 --> 00:03:50.040]   all
[00:03:50.040 --> 00:03:50.190]   the
[00:03:50.190 --> 00:03:50.490]   things
[00:03:50.490 --> 00:03:50.690]   that
[00:03:50.690 --> 00:03:50.890]   you
[00:03:50.890 --> 00:03:50.990]  've
[00:03:50.990 --> 00:03:51.140]   had
[00:03:51.140 --> 00:03:51.240]   on
[00:03:51.240 --> 00:03:51.540]   Hacker
[00:03:51.540 --> 00:03:51.740]   News
[00:03:51.740 --> 00:03:51.890]   the
[00:03:51.890 --> 00:03:51.990]  ,
[00:03:51.990 --> 00:03:52.190]   fact
[00:03:52.190 --> 00:03:52.540]   that
[00:03:52.540 --> 00:03:52.570]   you
[00:03:52.570 --> 00:03:52.870]   called
[00:03:52.870 --> 00:03:52.990]   him
[00:03:52.990 --> 00:03:53.160]   up
[00:03:53.160 --> 00:03:53.190]   on
[00:03:53.190 --> 00:03:53.340]   Pri
[00:03:53.340 --> 00:03:53.440]  zo
[00:03:53.440 --> 00:03:54.240]  . [SPEAKER_TURN]
[00:03:54.960 --> 00:03:55.090]  
[00:03:55.090 --> 00:03:55.170]   Yes
[00:03:55.170 --> 00:03:55.240]   I
[00:03:55.240 --> 00:03:55.410]  ,
[00:03:55.410 --> 00:03:55.590]   was
[00:03:55.590 --> 00:03:55.870]   like
[00:03:55.870 --> 00:03:56.090]   the
[00:03:56.090 --> 00:03:56.440]   first
[00:03:56.440 --> 00:03:56.720]   call
[00:03:56.720 --> 00:03:56.790]  -
[00:03:56.790 --> 00:03:56.930]  in
[00:03:56.930 --> 00:03:57.290]   guest
[00:03:57.290 --> 00:03:57.510]   for
[00:03:57.510 --> 00:03:57.640]   th
[00:03:57.640 --> 00:03:57.930]   this
[00:03:57.930 --> 00:03:58.230]   week
[00:03:58.230 --> 00:03:58.340]   at
[00:03:58.340 --> 00:03:58.990]   startups
[00:03:58.990 --> 00:03:59.050]   we
[00:03:59.050 --> 00:03:59.480]   talked
[00:03:59.480 --> 00:03:59.840]   about
[00:03:59.840 --> 00:04:00.050]   Pre
[00:04:00.050 --> 00:04:00.260]  zzo
[00:04:00.260 --> 00:04:00.410]   and
[00:04:00.410 --> 00:04:00.610]   um
[00:04:00.610 --> 00:04:00.800]   of
[00:04:00.800 --> 00:04:01.180]   course
[00:04:01.180 --> 00:04:01.250]   I
[00:04:01.250 --> 00:04:01.280]   built
[00:04:01.280 --> 00:04:01.970]   the
[00:04:01.970 --> 00:04:02.200]   first
[00:04:02.200 --> 00:04:02.680]   version
[00:04:02.680 --> 00:04:02.820]   of
[00:04:02.820 --> 00:04:03.180]   local
[00:04:03.180 --> 00:04:03.540]   bacon
[00:04:03.540 --> 00:04:03.900]   which
[00:04:03.900 --> 00:04:04.030]   he
[00:04:04.030 --> 00:04:04.250]   was
[00:04:04.250 --> 00:04:04.330]   a
[00:04:04.330 --> 00:04:04.530]   big
[00:04:04.530 --> 00:04:04.740]   fan
[00:04:04.740 --> 00:04:04.930]   of
[00:04:04.930 --> 00:04:05.090]   and
[00:04:05.090 --> 00:04:05.450]   which
[00:04:05.450 --> 00:04:06.020]   launched
[00:04:06.020 --> 00:04:06.160]   at
[00:04:06.160 --> 00:04:06.370]   the
[00:04:06.370 --> 00:04:06.650]   Tech
[00:04:06.650 --> 00:04:07.080]  Crunch
[00:04:07.080 --> 00:04:07.440]   fifty
[00:04:07.440 --> 00:04:07.790]   back
[00:04:07.790 --> 00:04:07.790]   a
[00:04:07.790 --> 00:04:08.220]   little
[00:04:08.220 --> 00:04:08.500]   over
[00:04:08.500 --> 00:04:08.570]   a
[00:04:08.570 --> 00:04:08.850]   year
[00:04:08.850 --> 00:04:09.060]   ago
[00:04:09.060 --> 00:04:09.200]   so
[00:04:09.200 --> 00:04:09.400]  ,
[00:04:09.400 --> 00:04:09.630]   that
[00:04:09.630 --> 00:04:09.760]  's
[00:04:09.760 --> 00:04:10.260]   another
[00:04:10.260 --> 00:04:10.980]   connection
[00:04:10.980 --> 00:04:11.190]  .
[00:04:11.190 --> 00:04:11.400]   And
[00:04:11.400 --> 00:04:11.680]   then
[00:04:11.680 --> 00:04:11.880]   um
[00:04:11.880 --> 00:04:11.950]   uh
[00:04:11.950 --> 00:04:12.170]   let
[00:04:12.170 --> 00:04:12.300]  's
[00:04:12.300 --> 00:04:12.640]   see
[00:04:12.640 --> 00:04:12.660]   uh
[00:04:12.660 --> 00:04:12.940]   yeah
[00:04:12.940 --> 00:04:13.150]   and
[00:04:13.150 --> 00:04:13.360]   and
[00:04:13.360 --> 00:04:13.500]   of
[00:04:13.500 --> 00:04:13.940]   course
[00:04:13.940 --> 00:04:14.100]   my
[00:04:14.100 --> 00:04:14.350]   blog
[00:04:14.350 --> 00:04:14.630]   post
[00:04:14.630 --> 00:04:14.840]   how
[00:04:14.840 --> 00:04:14.980]  ,
[00:04:14.980 --> 00:04:15.050]   I
[00:04:15.050 --> 00:04:15.190]  'm
[00:04:15.190 --> 00:04:15.470]   boot
[00:04:15.470 --> 00:04:15.540]  -
[00:04:15.540 --> 00:04:15.820]  stra
[00:04:15.820 --> 00:04:16.180]  pping
[00:04:16.180 --> 00:04:16.250]   a
[00:04:16.250 --> 00:04:16.610]   start
[00:04:16.610 --> 00:04:16.680]  -
[00:04:16.680 --> 00:04:16.820]  up
[00:04:16.820 --> 00:04:17.100]   with
[00:04:17.100 --> 00:04:17.470]   three
[00:04:17.470 --> 00:04:17.740]   kids
[00:04:17.740 --> 00:04:17.880]  ,
[00:04:17.880 --> 00:04:18.160]   that
[00:04:18.160 --> 00:04:18.370]   was
[00:04:18.370 --> 00:04:18.690]   sort
[00:04:18.690 --> 00:04:18.790]   of
[00:04:18.790 --> 00:04:18.860]   a
[00:04:18.860 --> 00:04:18.930]   b
[00:04:18.930 --> 00:04:19.120]   uh
[00:04:19.120 --> 00:04:19.140]   a
[00:04:19.140 --> 00:04:19.710]   response
[00:04:19.710 --> 00:04:19.860]   to
[00:04:19.860 --> 00:04:20.060]   his
[00:04:20.060 --> 00:04:20.340]   blog
[00:04:20.340 --> 00:04:20.740]   post
[00:04:20.740 --> 00:04:20.830]   and
[00:04:20.830 --> 00:04:20.970]   so
[00:04:20.970 --> 00:04:21.170]   he
[00:04:21.170 --> 00:04:21.320]   was
[00:04:21.320 --> 00:04:21.600]   kind
[00:04:21.600 --> 00:04:21.740]   of
[00:04:21.740 --> 00:04:22.020]   very
[00:04:22.020 --> 00:04:22.380]   aware
[00:04:22.380 --> 00:04:22.520]   of
[00:04:22.520 --> 00:04:22.810]   that
[00:04:22.810 --> 00:04:22.940]   Um
[00:04:22.940 --> 00:04:24.340]  . [SPEAKER_TURN]
[00:04:24.920 --> 00:04:24.920]  
[00:04:24.920 --> 00:04:25.190]   dunno
[00:04:25.190 --> 00:04:25.280]  ,
[00:04:25.280 --> 00:04:25.450]   you
[00:04:25.450 --> 00:04:25.660]   know
[00:04:25.660 --> 00:04:25.950]   maybe
[00:04:25.950 --> 00:04:26.030]  ,
[00:04:26.030 --> 00:04:26.200]   who
[00:04:26.200 --> 00:04:26.460]   knows
[00:04:26.460 --> 00:04:26.680]  . [SPEAKER_TURN]
[00:04:26.680 --> 00:04:28.640]   Yeah
[00:04:28.640 --> 00:04:30.200]  .
[00:04:30.200 --> 00:04:30.290]   You
[00:04:30.290 --> 00:04:30.460]  're
[00:04:30.460 --> 00:04:30.940]   suddenly
[00:04:30.940 --> 00:04:31.380]   material
[00:04:31.380 --> 00:04:31.610]  ised
[00:04:31.610 --> 00:04:31.840]   into
[00:04:31.840 --> 00:04:32.010]   his
[00:04:32.010 --> 00:04:32.240]   life
[00:04:32.240 --> 00:04:32.920]  . [SPEAKER_TURN]
[00:04:32.920 --> 00:04:33.200]   Yeah
[00:04:33.200 --> 00:04:33.340]   he
[00:04:33.340 --> 00:04:33.480]  'd
[00:04:33.480 --> 00:04:33.550]   p
[00:04:33.550 --> 00:04:33.690]   he
[00:04:33.690 --> 00:04:34.260]   probably
[00:04:34.260 --> 00:04:34.460]   isn
[00:04:34.460 --> 00:04:34.610]  't
[00:04:34.610 --> 00:04:34.960]   aware
[00:04:34.960 --> 00:04:35.240]   that
[00:04:35.240 --> 00:04:35.380]   it
[00:04:35.380 --> 00:04:35.520]  's
[00:04:35.520 --> 00:04:35.660]   me
[00:04:35.660 --> 00:04:36.010]   right
[00:04:36.010 --> 00:04:36.150]  ,
[00:04:36.150 --> 00:04:36.360]   I
[00:04:36.360 --> 00:04:36.500]   mean
[00:04:36.500 --> 00:04:36.860]   there
[00:04:36.860 --> 00:04:36.990]  's
[00:04:36.990 --> 00:04:37.270]   just
[00:04:37.270 --> 00:04:37.550]   like
[00:04:37.550 --> 00:04:37.900]   these
[00:04:37.900 --> 00:04:38.180]   are
[00:04:38.180 --> 00:04:38.640]   little
[00:04:38.640 --> 00:04:38.810]   dots
[00:04:38.810 --> 00:04:39.080]   like
[00:04:39.080 --> 00:04:39.350]   you
[00:04:39.350 --> 00:04:39.670]   said
[00:04:39.670 --> 00:04:39.790]   and
[00:04:39.790 --> 00:04:39.990]   I
[00:04:39.990 --> 00:04:40.070]   don
[00:04:40.070 --> 00:04:40.210]  't
[00:04:40.210 --> 00:04:40.620]   think
[00:04:40.620 --> 00:04:40.700]   he
[00:04:40.700 --> 00:04:40.840]  's
[00:04:40.840 --> 00:04:40.980]   we
[00:04:40.980 --> 00:04:41.190]  'll
[00:04:41.190 --> 00:04:41.400]   see
[00:04:41.400 --> 00:04:41.470]   I
[00:04:41.470 --> 00:04:41.820]   guess
[00:04:41.820 --> 00:04:42.000]   we
[00:04:42.000 --> 00:04:42.170]  'll
[00:04:42.170 --> 00:04:42.550]   talk
[00:04:42.550 --> 00:04:42.590]   to
[00:04:42.590 --> 00:04:42.800]   him
[00:04:42.800 --> 00:04:43.100]   soon
[00:04:43.100 --> 00:04:43.250]   we
[00:04:43.250 --> 00:04:43.430]  'll
[00:04:43.430 --> 00:04:43.710]   find
[00:04:43.710 --> 00:04:43.920]   out
[00:04:43.920 --> 00:04:44.130]   but
[00:04:44.130 --> 00:04:44.420]  ,
[00:04:44.420 --> 00:04:44.550]   yeah
[00:04:44.550 --> 00:04:44.830]   good
[00:04:44.830 --> 00:04:44.970]  ,
[00:04:44.970 --> 00:04:45.460]   stuff
[00:04:45.460 --> 00:04:45.670]   there
[00:04:45.670 --> 00:04:45.920]  .
[00:04:45.920 --> 00:04:46.020]   Um
[00:04:46.020 --> 00:04:46.370]   well
[00:04:46.370 --> 00:04:46.580]   how
[00:04:46.580 --> 00:04:46.770]   did
[00:04:46.770 --> 00:04:46.930]   you
[00:04:46.930 --> 00:04:47.070]   do
[00:04:47.070 --> 00:04:47.210]   it
[00:04:47.210 --> 00:04:47.280]   I
[00:04:47.280 --> 00:04:47.490]  ?
[00:04:47.490 --> 00:04:47.770]   mean
[00:04:47.770 --> 00:04:47.980]   how
[00:04:47.980 --> 00:04:48.200]   did
[00:04:48.200 --> 00:04:48.600]   you
[00:04:48.600 --> 00:04:48.680]   land
[00:04:48.680 --> 00:04:48.890]   him
[00:04:48.890 --> 00:04:49.240]   right
[00:04:49.240 --> 00:04:49.380]  ,
[00:04:49.380 --> 00:04:49.450]   I
[00:04:49.450 --> 00:04:49.520]   I
[00:04:49.520 --> 00:04:49.800]   that
[00:04:49.800 --> 00:04:49.940]  's
[00:04:49.940 --> 00:04:50.010]   I
[00:04:50.010 --> 00:04:50.360]   think
[00:04:50.360 --> 00:04:50.500]   it
[00:04:50.500 --> 00:04:50.640]  's
[00:04:50.640 --> 00:04:50.920]   that
[00:04:50.920 --> 00:04:51.130]  'd
[00:04:51.130 --> 00:04:51.200]   be
[00:04:51.200 --> 00:04:51.270]   a
[00:04:51.270 --> 00:04:52.480]   good [SPEAKER_TURN]
[00:04:52.500 --> 00:04:52.500]  
[00:04:52.500 --> 00:04:52.570]   '
[00:04:52.570 --> 00:04:52.900]  cause
[00:04:52.900 --> 00:04:53.030]   uh
[00:04:53.030 --> 00:04:53.090]   I
[00:04:53.090 --> 00:04:53.150]   b
[00:04:53.150 --> 00:04:53.210]   I
[00:04:53.210 --> 00:04:53.620]   signed
[00:04:53.620 --> 00:04:53.760]   up
[00:04:53.760 --> 00:04:53.880]   to
[00:04:53.880 --> 00:04:54.050]   Qu
[00:04:54.050 --> 00:04:54.250]  ora
[00:04:54.250 --> 00:04:54.340]  ,
[00:04:54.340 --> 00:04:54.810]   right
[00:04:54.810 --> 00:04:54.940]  ,
[00:04:54.940 --> 00:04:55.010]   and
[00:04:55.010 --> 00:04:55.140]   um
[00:04:55.140 --> 00:04:55.510]   haven
[00:04:55.510 --> 00:04:55.880]  't
[00:04:55.880 --> 00:04:55.900]   been
[00:04:55.900 --> 00:04:56.290]   paying
[00:04:56.290 --> 00:04:56.490]   too
[00:04:56.490 --> 00:04:56.760]   much
[00:04:56.760 --> 00:04:57.370]   attention
[00:04:57.370 --> 00:04:57.500]   to
[00:04:57.500 --> 00:04:57.630]   it
[00:04:57.630 --> 00:04:57.830]   and
[00:04:57.830 --> 00:04:57.960]  ,
[00:04:57.960 --> 00:04:58.020]   I
[00:04:58.020 --> 00:04:58.220]   got
[00:04:58.220 --> 00:04:58.350]   an
[00:04:58.350 --> 00:04:58.690]   email
[00:04:58.690 --> 00:04:58.820]   in
[00:04:58.820 --> 00:04:58.940]   my
[00:04:58.940 --> 00:04:59.320]   inbox
[00:04:59.320 --> 00:04:59.830]   saying
[00:04:59.830 --> 00:04:59.830]   um
[00:04:59.830 --> 00:05:00.250]   that
[00:05:00.250 --> 00:05:00.440]   Jason
[00:05:00.440 --> 00:05:00.640]   Cal
[00:05:00.640 --> 00:05:00.910]  acan
[00:05:00.910 --> 00:05:01.240]  is
[00:05:01.240 --> 00:05:01.390]   has
[00:05:01.390 --> 00:05:01.720]   started
[00:05:01.720 --> 00:05:02.350]   following
[00:05:02.350 --> 00:05:02.580]   you
[00:05:02.580 --> 00:05:03.120]  .
[00:05:03.120 --> 00:05:03.120]   So
[00:05:03.120 --> 00:05:03.160]   I
[00:05:03.160 --> 00:05:03.380]   kind
[00:05:03.380 --> 00:05:03.480]   of
[00:05:03.480 --> 00:05:03.620]   had
[00:05:03.620 --> 00:05:03.860]   a
[00:05:03.860 --> 00:05:03.900]   look
[00:05:03.900 --> 00:05:04.000]   at
[00:05:04.000 --> 00:05:04.160]   how
[00:05:04.160 --> 00:05:04.370]   many
[00:05:04.370 --> 00:05:04.850]   followers
[00:05:04.850 --> 00:05:04.950]   he
[00:05:04.950 --> 00:05:05.110]   had
[00:05:05.110 --> 00:05:05.270]   and
[00:05:05.270 --> 00:05:05.370]   he
[00:05:05.370 --> 00:05:05.600]   had
[00:05:05.600 --> 00:05:05.740]   four
[00:05:05.740 --> 00:05:06.170]   thousand
[00:05:06.170 --> 00:05:06.330]   for
[00:05:06.330 --> 00:05:06.590]   Sorry
[00:05:06.590 --> 00:05:06.850]   how
[00:05:06.850 --> 00:05:06.990]  ,
[00:05:06.990 --> 00:05:07.060]   many
[00:05:07.060 --> 00:05:07.380]   people
[00:05:07.380 --> 00:05:07.480]   he
[00:05:07.480 --> 00:05:07.850]   was
[00:05:07.850 --> 00:05:08.120]   following
[00:05:08.120 --> 00:05:08.220]   it
[00:05:08.220 --> 00:05:08.540]   looked
[00:05:08.540 --> 00:05:08.790]   like
[00:05:08.790 --> 00:05:08.850]   he
[00:05:08.850 --> 00:05:09.010]   was
[00:05:09.010 --> 00:05:09.490]   following
[00:05:09.490 --> 00:05:09.700]   four
[00:05:09.700 --> 00:05:10.130]   thousand
[00:05:10.130 --> 00:05:10.460]  .
[00:05:10.740 --> 00:05:10.800]  
[00:05:10.800 --> 00:05:10.840]   So
